"","regulator","target","strength","effect"
"1","Burn1_TF1","Burn2_TF1",1,1
"2","Burn2_TF1","Burn3_TF1",1,1
"3","Burn3_TF1","Burn4_TF1",1,1
"4","Burn4_TF1","A1_TF1",1,1
"5","A1_TF1","A2_TF1",1,1
"6","A2_TF1","A3_TF1",1,1
"7","A3_TF1","A4_TF1",1,1
"8","A4_TF1","B1_TF1",1,1
"9","B1_TF1","B2_TF1",1,1
"10","B3_TF1","B2_TF1",10,-1
"11","B2_TF1","B2_TF1",2,1
"12","B1_TF1","B3_TF1",1,1
"13","B2_TF1","B3_TF1",10,-1
"14","B3_TF1","B3_TF1",2,1
"15","B2_TF1","B4_TF1",100,-1
"16","B3_TF1","B5_TF1",100,-1
"17","B2_TF1","B6_TF1",1,1
"18","B5_TF1","B6_TF1",1,1
"19","B3_TF1","B7_TF1",1,1
"20","B4_TF1","B7_TF1",1,1
"21","B6_TF1","B8_TF1",1,1
"22","B7_TF1","B8_TF1",1,1
"23","B2_TF1","B9_TF1",1,1
"24","B8_TF1","B9_TF1",1,1
"25","B2_TF1","B10_TF1",1,1
"26","B8_TF1","B10_TF1",1,1
"27","B2_TF1","B11_TF1",1,1
"28","B8_TF1","B11_TF1",1,1
"29","B3_TF1","B12_TF1",1,1
"30","B8_TF1","B12_TF1",1,1
"31","B3_TF1","B13_TF1",1,1
"32","B8_TF1","B13_TF1",1,1
"33","B3_TF1","B14_TF1",1,1
"34","B8_TF1","B14_TF1",1,1
"35","B11_TF1","C1_TF1",1,1
"36","C1_TF1","C2_TF1",1,1
"37","C2_TF1","C3_TF1",10,-1
"38","C3_TF1","C4_TF1",10,-1
"39","B14_TF1","D1_TF1",1,1
"40","D1_TF1","D2_TF1",10,-1
"41","D2_TF1","D3_TF1",10,-1
"42","D3_TF1","D4_TF1",10,-1
"43","D4_TF1","D5_TF1",10,-1
"44","Target1","Target61",5.54076508816815,-1
"45","Target1","Target62",5.24228750192748,1
"46","Target1","Target63",73.5048105385271,-1
"47","Target1","Target64",7.84730431613688,1
"48","Target1","Target65",5.50575745012166,1
"49","Target1","Target66",50.9159754807512,-1
"50","Target1","Target67",3.61636147189177,1
"51","Target1","Target68",1.76119258815467,-1
"52","Target1","Target69",2.81370820398456,-1
"53","Target1","Target70",4.96123203831697,1
"54","Target1","Target71",39.4264215221509,1
"55","Target1","Target72",2.38195743547332,1
"56","Target1","Target73",79.3582176259961,1
"57","Target1","Target74",13.0173749268045,-1
"58","Target1","Target75",84.1462224413585,1
"59","Target1","Target76",7.52412225360551,1
"60","Target1","Target77",3.69981535695951,1
"61","Target1","Target78",15.1009987711478,1
"62","Target1","Target79",16.5172867731609,1
"63","Target1","Target80",5.81600490000526,1
"64","Target1","Target81",27.1695159625539,1
"65","Target1","Target82",1.68733634254963,1
"66","Target1","Target83",63.9359078263885,1
"67","Target1","Target84",2.26099016435971,1
"68","Target1","Target85",9.01282679118279,1
"69","Target1","Target86",25.9313886122738,-1
"70","Target1","Target87",16.6313332459207,1
"71","Target1","Target88",5.21643733583816,1
"72","Target1","Target89",3.49580344375607,1
"73","Target1","Target90",5.2765400295209,1
"74","Target1","Target91",3.38631416709795,1
"75","Target1","Target92",57.368573819823,1
"76","Target1","Target93",14.5986289150019,1
"77","Target1","Target94",41.3665129884581,1
"78","Target1","Target95",4.65593838444624,1
"79","Target1","Target96",3.79171313825743,1
"80","Target1","Target42",2.62124975854666,1
"81","Target1","Target97",59.8883493590521,1
"82","Target1","Target36",16.6906711742456,1
"83","Target1","Target98",1.32528423806611,-1
"84","Target1","Target99",21.9440040540286,1
"85","Target1","Target100",16.864623526711,1
"86","Target1","Target101",29.942824559137,-1
"87","Target1","Target102",88.9582432674575,1
"88","Target1","Target41",32.7518055302873,1
"89","Target1","Target103",26.8652621190229,1
"90","Target1","Target104",14.0859563583912,-1
"91","Target1","Target105",18.9917797369834,1
"92","Target1","Target106",4.16302552404102,1
"93","Target1","Target107",2.85192833051356,1
"94","Target1","Target108",9.40120800485747,1
"95","Target1","Target109",32.4378547059689,-1
"96","Target1","Target110",21.8896446925922,1
"97","Target1","Target111",26.8173258995396,1
"98","Target1","Target112",1.27163627522717,1
"99","Target1","Target113",1.02426436044688,1
"100","Target1","Target114",5.7149491376005,1
"101","Target1","Target115",29.3625625221392,1
"102","Target1","Target116",2.46960363129758,-1
"103","Target1","Target117",17.8031478165284,1
"104","Target2","Target118",27.3173795812258,1
"105","Target2","Target119",3.29866609850346,1
"106","Target2","Target120",29.7164689012672,-1
"107","Target2","Target121",1.68573150300857,-1
"108","Target2","Target122",6.97398513389708,-1
"109","Target2","Target123",7.15696397179807,1
"110","Target2","Target124",4.95125356744041,1
"111","Target2","Target125",59.887848879022,1
"112","Target2","Target126",2.311936914556,1
"113","Target2","Target84",13.6061680581397,1
"114","Target2","Target127",4.48675602013695,1
"115","Target2","Target128",13.3389746019598,1
"116","Target2","Target42",25.044476033376,-1
"117","Target2","Target129",8.90344332799791,1
"118","Target2","Target107",1.52964494494795,1
"119","Target2","Target130",1.72525427044702,1
"120","Target2","Target131",2.20989811064155,1
"121","Target2","Target132",9.03202808102605,1
"122","Target2","Target133",48.126921579051,1
"123","Target2","Target134",34.840089610659,1
"124","Target2","Target135",33.9968650831657,1
"125","Target2","Target136",12.8809191397738,1
"126","Target2","Target137",21.1949178276779,1
"127","A1_TF1","Target29",5.39704208384197,1
"128","A1_TF1","Target31",1.03444898268662,-1
"129","A1_TF1","Target138",24.5307585667311,-1
"130","A1_TF1","Target139",10.8061370108878,1
"131","A1_TF1","Target140",33.2414191825207,-1
"132","A1_TF1","Target141",9.16441870554215,1
"133","A1_TF1","Target142",8.87389377406024,1
"134","A1_TF1","Target143",13.0632850225578,1
"135","A1_TF1","Target144",18.6498222779773,1
"136","A1_TF1","Target145",6.61593923834457,-1
"137","A1_TF1","Target146",5.6537242064024,1
"138","A1_TF1","Target147",3.15441580334374,-1
"139","A1_TF1","Target148",5.88486527346521,1
"140","A1_TF1","Target149",13.323368473002,1
"141","A1_TF1","Target150",1.84926621773889,-1
"142","A1_TF1","Target48",19.5265728584976,1
"143","A1_TF1","Target151",13.0263712333697,1
"144","A1_TF1","Target152",1.95491930011279,-1
"145","A1_TF1","Target153",7.54075987123522,1
"146","A1_TF1","Target154",96.6439338858877,1
"147","A1_TF1","Target155",3.25793412922261,1
"148","A1_TF1","Target156",32.4754119395314,1
"149","A1_TF1","Target84",1.05251766701322,1
"150","A1_TF1","Target157",3.63138489914643,1
"151","A1_TF1","Target158",64.2408122819362,1
"152","A1_TF1","Target159",85.1394068140252,1
"153","A1_TF1","Target160",43.740651920688,1
"154","A1_TF1","Target114",2.05594668970829,-1
"155","A1_TF1","Target161",1.31427733306822,1
"156","A1_TF1","Target132",4.52412590113944,1
"157","A1_TF1","Target162",52.3456006122514,-1
"158","A1_TF1","Target163",2.26085489789569,1
"159","A1_TF1","Target164",1.12421449170137,1
"160","A1_TF1","Target134",58.8039594801699,1
"161","A1_TF1","Target165",1.34245836924144,1
"162","A1_TF1","Target166",13.3184790939911,1
"163","A1_TF1","Target167",2.6625941986398,1
"164","A1_TF1","Target168",24.8635062670813,1
"165","A1_TF1","Target169",21.4676875304667,1
"166","A1_TF1","Target170",37.0806159025366,-1
"167","Target3","Target161",3.36257963510858,1
"168","Target4","Target171",1.88709510668453,1
"169","Target4","Target172",8.81117516909551,-1
"170","D3_TF1","Target5",4.0802216852492,1
"171","D3_TF1","Target8",14.6009862139749,1
"172","D3_TF1","Target9",81.3154054383904,1
"173","D3_TF1","Target173",2.43287785292648,-1
"174","D3_TF1","Target20",16.4682288989733,-1
"175","D3_TF1","Target25",3.85162134514946,-1
"176","D3_TF1","Target28",2.01499460862649,-1
"177","D3_TF1","Target31",91.2443384081298,1
"178","D3_TF1","Target33",44.4155316988382,1
"179","D3_TF1","Target174",1.19008028117832,1
"180","D3_TF1","Target175",43.3206964190507,-1
"181","D3_TF1","Target176",5.10991861489059,-1
"182","D3_TF1","Target177",36.6282966583187,1
"183","D3_TF1","Target178",12.6598520001761,1
"184","D3_TF1","Target179",8.31176981173856,1
"185","D3_TF1","Target180",45.41290503923,1
"186","D3_TF1","Target181",4.33325861088727,1
"187","D3_TF1","Target182",1.92511633462336,1
"188","D3_TF1","Target183",1.51105083761037,1
"189","D3_TF1","Target184",11.6345463057703,1
"190","D3_TF1","Target185",69.6246333266089,1
"191","D3_TF1","Target186",96.7091136011248,1
"192","D3_TF1","Target187",4.72275880571859,1
"193","D3_TF1","Target188",1.07601093439245,1
"194","D3_TF1","Target189",6.4876353327357,1
"195","D3_TF1","Target190",1.30653025324591,1
"196","D3_TF1","Target191",77.4215115264716,1
"197","D3_TF1","Target192",39.5350252420627,1
"198","D3_TF1","Target193",85.9008834973864,1
"199","D3_TF1","Target194",4.25643144012222,1
"200","D3_TF1","Target195",3.89848787492048,-1
"201","D3_TF1","Target196",47.6922313383014,1
"202","D3_TF1","Target197",8.99635321143885,1
"203","D3_TF1","Target198",31.7256147438943,-1
"204","D3_TF1","Target199",15.3813868362639,1
"205","D3_TF1","Target200",1.87474890987521,-1
"206","D3_TF1","Target201",3.59135602328423,1
"207","D3_TF1","Target202",3.78801091704865,1
"208","D3_TF1","Target203",15.9373515563981,-1
"209","D3_TF1","Target204",10.2491556434676,1
"210","D3_TF1","Target205",95.4236386120364,1
"211","D3_TF1","Target206",6.54289199795372,1
"212","D3_TF1","Target207",38.353581717409,1
"213","D3_TF1","Target208",6.91726365004344,1
"214","D3_TF1","Target209",6.32705688167955,1
"215","D3_TF1","Target210",67.55156156065,1
"216","D3_TF1","Target211",14.5619432616422,1
"217","D3_TF1","Target212",41.5822551847687,-1
"218","D3_TF1","Target213",4.00781015361468,1
"219","D3_TF1","Target64",40.6777317395413,-1
"220","D3_TF1","Target214",11.9607982029647,1
"221","D3_TF1","Target43",44.5295720519419,-1
"222","D3_TF1","Target215",1.36925953709213,-1
"223","D3_TF1","Target67",2.30575314977015,1
"224","D3_TF1","Target68",10.7087005513213,1
"225","D3_TF1","Target216",22.772757116198,1
"226","D3_TF1","Target49",44.9750682590265,-1
"227","D3_TF1","Target217",7.77385730735643,1
"228","D3_TF1","Target218",5.28883558012498,1
"229","D3_TF1","Target219",20.8477632941044,-1
"230","D3_TF1","Target220",14.0056981124751,1
"231","D3_TF1","Target221",24.9223432204298,1
"232","D3_TF1","Target222",3.1818547951787,-1
"233","D3_TF1","Target223",92.4774110901148,1
"234","D3_TF1","Target224",7.16961284758698,1
"235","D3_TF1","Target225",15.6862817461884,1
"236","D3_TF1","Target226",1.79110866657202,-1
"237","D3_TF1","Target227",4.09814073895793,-1
"238","D3_TF1","Target228",78.7536035965559,1
"239","D3_TF1","Target70",6.59160232069079,-1
"240","D3_TF1","Target229",39.0223348518018,1
"241","D3_TF1","Target230",17.8194200482443,1
"242","D3_TF1","Target231",3.24447490717236,1
"243","D3_TF1","Target232",5.03344941012445,-1
"244","D3_TF1","Target233",13.8443726019492,1
"245","D3_TF1","Target234",2.00670163819898,-1
"246","D3_TF1","Target235",2.66773168390148,1
"247","D3_TF1","Target236",1.35143006427826,1
"248","D3_TF1","Target73",4.54707458926595,1
"249","D3_TF1","Target237",69.7116282881888,-1
"250","D3_TF1","Target238",38.4855563737267,1
"251","D3_TF1","Target239",3.44864891424677,1
"252","D3_TF1","Target240",8.57442130862088,-1
"253","D3_TF1","Target77",4.11106309487814,1
"254","D3_TF1","Target241",9.93422082571168,1
"255","D3_TF1","Target242",97.0621433267008,-1
"256","D3_TF1","Target80",25.8884013630891,1
"257","D3_TF1","Target243",3.52962347169829,-1
"258","D3_TF1","Target244",8.60195894726072,-1
"259","D3_TF1","Target245",1.20287609833802,1
"260","D3_TF1","Target246",83.4745013523948,-1
"261","D3_TF1","Target247",3.66465893678608,-1
"262","D3_TF1","Target248",3.25174142589245,1
"263","D3_TF1","Target86",55.2736876922408,1
"264","D3_TF1","Target249",40.6868826820834,1
"265","D3_TF1","Target250",1.09096868570608,-1
"266","D3_TF1","Target251",5.12119808816438,1
"267","D3_TF1","Target252",45.0305987506487,1
"268","D3_TF1","Target127",7.49474446059151,1
"269","D3_TF1","Target253",89.7355535455283,1
"270","D3_TF1","Target254",22.9874861637193,1
"271","D3_TF1","Target255",26.024589755289,1
"272","D3_TF1","Target89",19.5309187903499,1
"273","D3_TF1","Target256",47.6552628821841,1
"274","D3_TF1","Target60",77.6049939048741,1
"275","D3_TF1","Target257",13.8184843225752,1
"276","D3_TF1","Target91",26.249776979217,1
"277","D3_TF1","Target258",7.39889421330538,1
"278","D3_TF1","Target92",1.88587051350274,1
"279","D3_TF1","Target259",8.36537789390646,1
"280","D3_TF1","Target260",29.7077518990058,1
"281","D3_TF1","Target261",1.60267596749041,1
"282","D3_TF1","Target94",5.64955827980671,1
"283","D3_TF1","Target95",57.0866623140711,1
"284","D3_TF1","Target262",2.74822503608412,-1
"285","D3_TF1","Target96",6.52220727470453,1
"286","D3_TF1","Target263",1.36491878631417,1
"287","D3_TF1","Target264",2.75728516186716,1
"288","D3_TF1","Target265",11.0454126164438,1
"289","D3_TF1","Target266",3.01578162423928,1
"290","D3_TF1","Target97",96.7951569273921,-1
"291","D3_TF1","Target36",3.88915874281206,1
"292","D3_TF1","Target267",1.83586442775263,1
"293","D3_TF1","Target268",19.7286142767939,1
"294","D3_TF1","Target269",8.97688315388063,1
"295","D3_TF1","Target270",4.04465252192547,1
"296","D3_TF1","Target271",10.8306895963164,1
"297","D3_TF1","Target101",1.20793882128716,1
"298","D3_TF1","Target272",11.7153268949655,1
"299","D3_TF1","Target273",9.5322073781909,1
"300","D3_TF1","Target102",1.22953782586486,1
"301","D3_TF1","Target274",33.469765759769,1
"302","D3_TF1","Target275",74.7193930925565,1
"303","D3_TF1","Target41",4.02561642790766,1
"304","D3_TF1","Target276",3.66054288341047,-1
"305","D3_TF1","Target277",5.36928723162434,-1
"306","D3_TF1","Target278",1.57839950514463,1
"307","D3_TF1","Target279",81.3654804129304,1
"308","D3_TF1","Target280",1.23679022294819,-1
"309","D3_TF1","Target281",13.3552331487149,1
"310","D3_TF1","Target282",2.13700171762949,1
"311","D3_TF1","Target283",66.664891899428,1
"312","D3_TF1","Target284",2.52519632685187,1
"313","D3_TF1","Target285",4.52151992988759,-1
"314","D3_TF1","Target286",2.36462650659241,1
"315","D3_TF1","Target287",7.81010497290529,1
"316","D3_TF1","Target288",5.23092773122871,1
"317","D3_TF1","Target289",73.8975114818256,-1
"318","D3_TF1","Target290",7.16822891977249,1
"319","D3_TF1","Target291",5.401992866971,1
"320","D3_TF1","Target292",4.08376781616484,1
"321","D3_TF1","Target293",1.25121737950794,1
"322","D3_TF1","Target294",68.2294234700699,-1
"323","D3_TF1","Target295",6.40288834681298,1
"324","D3_TF1","Target296",5.4896202022008,1
"325","D3_TF1","Target297",3.00951664334623,1
"326","D3_TF1","Target298",51.1354877540933,-1
"327","D3_TF1","Target299",2.38654606906608,1
"328","D3_TF1","Target300",8.96098943943763,1
"329","D3_TF1","Target51",7.48693895757844,1
"330","D3_TF1","Target301",7.06271740885474,1
"331","D3_TF1","Target302",46.0479986373665,1
"332","D3_TF1","Target303",3.48646430983712,1
"333","D3_TF1","Target304",1.81189695926385,1
"334","D3_TF1","Target305",11.9854908583855,-1
"335","D3_TF1","Target106",1.04565547582495,1
"336","D3_TF1","Target306",67.1201935746181,1
"337","D3_TF1","Target307",2.39037601234295,1
"338","D3_TF1","Target308",2.15165487172956,-1
"339","D3_TF1","Target309",57.3282861072873,1
"340","D3_TF1","Target310",1.42874032296895,1
"341","D3_TF1","Target311",4.37031747769748,1
"342","D3_TF1","Target312",5.91101954616797,1
"343","D3_TF1","Target313",1.0855364218793,1
"344","D3_TF1","Target314",38.4179231734107,1
"345","D3_TF1","Target315",5.96021818089086,-1
"346","D3_TF1","Target316",59.9391006923711,1
"347","D3_TF1","Target317",33.6986816301678,1
"348","D3_TF1","Target318",51.4157436901308,-1
"349","D3_TF1","Target319",1.7744335697343,-1
"350","D3_TF1","Target320",6.27681422857411,1
"351","D3_TF1","Target321",2.93814168486412,1
"352","D3_TF1","Target322",3.10979117710956,1
"353","D3_TF1","Target323",21.4368875820015,1
"354","D3_TF1","Target109",47.317732225713,-1
"355","D3_TF1","Target324",81.3857547701151,-1
"356","D3_TF1","Target325",1.11860448541169,1
"357","D3_TF1","Target326",35.6894263146163,-1
"358","D3_TF1","Target327",21.2147484223108,1
"359","D3_TF1","Target328",2.55607617125637,1
"360","D3_TF1","Target329",23.3329424647765,1
"361","D3_TF1","Target330",98.8244343348028,1
"362","D3_TF1","Target331",7.38678582059029,1
"363","D3_TF1","Target332",9.32220979503762,1
"364","D3_TF1","Target333",1.56726514725925,1
"365","D3_TF1","Target334",15.3915529826776,1
"366","D3_TF1","Target335",6.43038732218206,1
"367","D3_TF1","Target336",14.1271288040029,-1
"368","D3_TF1","Target130",62.1380802859937,1
"369","D3_TF1","Target337",8.11596560193853,1
"370","D3_TF1","Target338",4.41456738154952,1
"371","D3_TF1","Target339",61.2281538387043,1
"372","D3_TF1","Target340",2.6165894272114,-1
"373","D3_TF1","Target341",47.4422120890314,-1
"374","D3_TF1","Target342",7.64119923230339,-1
"375","D3_TF1","Target343",8.51852595337964,1
"376","D3_TF1","Target344",4.20648631616709,1
"377","D3_TF1","Target345",3.70654693611309,1
"378","D3_TF1","Target346",29.9844353479372,-1
"379","D3_TF1","Target347",6.68068648253882,1
"380","D3_TF1","Target348",2.38748212922873,-1
"381","D3_TF1","Target46",30.9417695401075,-1
"382","D3_TF1","Target349",35.1509953794068,1
"383","D3_TF1","Target350",27.0218771933939,-1
"384","D3_TF1","Target351",10.5901303746695,1
"385","D3_TF1","Target352",21.7985107312017,-1
"386","D3_TF1","Target353",3.12537514446018,1
"387","D3_TF1","Target131",3.0079958837806,-1
"388","D3_TF1","Target40",12.7501289375425,-1
"389","D3_TF1","Target354",1.56554145940866,1
"390","D3_TF1","Target355",1.92895229658929,1
"391","D3_TF1","Target356",6.65668009289508,1
"392","D3_TF1","Target357",3.92141878264672,1
"393","D3_TF1","Target358",52.1462911267634,-1
"394","D3_TF1","Target359",1.95854422407132,1
"395","D3_TF1","Target360",1.84175512634294,1
"396","D3_TF1","Target361",54.4383885785385,1
"397","D3_TF1","Target362",1.18986392511975,1
"398","D3_TF1","Target363",8.11157751668798,1
"399","D3_TF1","Target364",28.6025484379986,1
"400","D3_TF1","Target365",25.2139477614477,-1
"401","D3_TF1","Target366",2.38016161573298,1
"402","D3_TF1","Target367",3.95205868578556,1
"403","D3_TF1","Target368",9.5171659099648,-1
"404","D3_TF1","Target369",10.4977124124404,-1
"405","D3_TF1","Target370",52.17882571017,-1
"406","D3_TF1","Target371",3.22539073108663,1
"407","D3_TF1","Target372",9.04130983813487,1
"408","D3_TF1","Target373",31.0658529940866,1
"409","D3_TF1","Target374",1.25083246519168,1
"410","D3_TF1","Target375",25.1624891977474,1
"411","D3_TF1","Target376",1.70821124695848,1
"412","D3_TF1","Target377",88.5267617166649,1
"413","D3_TF1","Target378",15.5931903219952,1
"414","D3_TF1","Target379",42.3308001581629,1
"415","D3_TF1","Target380",1.57316274780976,1
"416","D3_TF1","Target381",20.6686073509353,1
"417","D3_TF1","Target382",3.01452543353995,-1
"418","D3_TF1","Target383",3.92706351194392,1
"419","D3_TF1","Target384",1.70958552770811,1
"420","D3_TF1","Target385",2.89180434363615,1
"421","D3_TF1","Target386",2.14625524882575,1
"422","D3_TF1","Target387",56.6538661227636,1
"423","D3_TF1","Target135",4.30934931300397,-1
"424","D3_TF1","Target388",3.59731339933362,-1
"425","D3_TF1","Target389",71.8904593104086,-1
"426","D3_TF1","Target390",10.7322627653364,1
"427","D3_TF1","Target136",2.03758008014786,1
"428","D3_TF1","Target391",20.0984992278777,-1
"429","D3_TF1","Target392",68.9002216671891,1
"430","D3_TF1","Target393",17.217612644932,1
"431","D3_TF1","Target394",8.6725580437507,-1
"432","D3_TF1","Target395",1.87368241553839,1
"433","D3_TF1","Target396",2.51240188311416,1
"434","D3_TF1","Target397",30.2743735191172,1
"435","D3_TF1","Target398",7.43841836991923,-1
"436","D3_TF1","Target399",1.21029761932145,-1
"437","D3_TF1","Target400",2.98719728060915,1
"438","D3_TF1","Target401",17.5464738053398,1
"439","D3_TF1","Target402",68.3073835466826,1
"440","D3_TF1","Target403",1.23203111821747,1
"441","Target5","Target404",11.1556311550558,-1
"442","Target5","Target405",11.1079143547201,1
"443","Target5","Target406",29.5472020354233,1
"444","Target5","Target167",17.5765292935298,1
"445","Target6","Target407",14.6981861857243,1
"446","Target6","Target146",46.6022587207373,1
"447","Target6","Target297",11.2762466836007,-1
"448","Target6","Target159",4.93921431549024,1
"449","Target6","Target132",2.11848908875664,-1
"450","Target6","Target165",30.9849165447705,-1
"451","Target7","Target408",22.698719179908,1
"452","Target7","Target409",31.2131837220025,1
"453","Target7","Target236",58.0108863661973,1
"454","Target7","Target410",9.67358103774676,1
"455","Target7","Target53",86.8876082386701,1
"456","Target7","Target111",55.7708396953105,1
"457","Target7","Target163",16.8328014583616,1
"458","Target7","Target411",1.54166119381795,1
"459","Target7","Target412",1.29089334799352,1
"460","Target7","Target413",2.78235428949464,1
"461","B6_TF1","Target12",22.7973286433695,-1
"462","B6_TF1","Target18",24.32611371173,1
"463","B6_TF1","Target414",69.8489706047242,-1
"464","B6_TF1","Target415",2.47315783988095,1
"465","B6_TF1","Target416",72.8514512267371,-1
"466","B6_TF1","Target417",1.29827753191294,-1
"467","B6_TF1","Target418",8.71347828005072,1
"468","B6_TF1","Target407",52.245491465372,1
"469","B6_TF1","Target419",4.70169198054282,1
"470","B6_TF1","Target420",3.17176510057888,1
"471","B6_TF1","Target421",50.6938587733441,-1
"472","B6_TF1","Target422",2.11085446639697,1
"473","B6_TF1","Target423",1.19947503767984,1
"474","B6_TF1","Target424",13.6891617307005,1
"475","B6_TF1","Target425",1.53428071589266,-1
"476","B6_TF1","Target426",13.5566562770108,1
"477","B6_TF1","Target427",17.0381501461451,-1
"478","B6_TF1","Target428",1.26109398555645,1
"479","B6_TF1","Target429",49.5303461622123,-1
"480","B6_TF1","Target430",1.25343461452227,-1
"481","B6_TF1","Target431",18.2489782300628,1
"482","B6_TF1","Target432",1.11006030892566,1
"483","B6_TF1","Target433",25.8537446991918,-1
"484","B6_TF1","Target434",1.93187938042226,1
"485","B6_TF1","Target435",4.03494217610311,1
"486","B6_TF1","Target436",15.0308588831573,1
"487","B6_TF1","Target122",1.16587396475958,1
"488","B6_TF1","Target437",1.38738597739799,-1
"489","B6_TF1","Target438",2.34571074457802,-1
"490","B6_TF1","Target439",17.3447669487681,-1
"491","B6_TF1","Target440",7.17992892201269,1
"492","B6_TF1","Target441",5.64068240650833,-1
"493","B6_TF1","Target442",85.3115405182627,1
"494","B6_TF1","Target443",1.10948605409548,1
"495","B6_TF1","Target72",2.23934176761605,1
"496","B6_TF1","Target444",7.19229854029279,1
"497","B6_TF1","Target79",7.99211239632518,1
"498","B6_TF1","Target445",40.2272274536356,1
"499","B6_TF1","Target446",1.05260428680398,1
"500","B6_TF1","Target447",45.0221275846437,1
"501","B6_TF1","Target448",34.9028752919037,1
"502","B6_TF1","Target449",18.8920559321268,1
"503","B6_TF1","Target450",90.2283534759218,1
"504","B6_TF1","Target98",60.7292641261712,1
"505","B6_TF1","Target451",17.0778455345894,1
"506","B6_TF1","Target452",1.61905225396578,-1
"507","B6_TF1","Target453",1.24865585683111,1
"508","B6_TF1","Target104",13.1631487042318,1
"509","B6_TF1","Target454",51.4199275075284,1
"510","B6_TF1","Target455",3.80125735177286,1
"511","B6_TF1","Target456",1.31618794360004,1
"512","B6_TF1","Target115",3.17372204012385,1
"513","B6_TF1","Target457",13.4418228900745,1
"514","B6_TF1","Target458",3.35421430463562,1
"515","B6_TF1","Target459",1.37756327756047,1
"516","B6_TF1","Target460",74.8594197793597,1
"517","B6_TF1","Target461",35.0148799721863,-1
"518","B6_TF1","Target462",28.8627506881563,1
"519","B6_TF1","Target463",11.5015732851534,1
"520","B6_TF1","Target464",2.95956071744829,1
"521","B6_TF1","Target52",1.50192921053868,1
"522","B6_TF1","Target465",16.5432279413995,1
"523","B6_TF1","Target466",47.2995110268088,1
"524","B6_TF1","Target467",1.78940289693382,1
"525","B6_TF1","Target468",37.3387253963088,1
"526","B6_TF1","Target469",56.2731643846223,1
"527","B6_TF1","Target137",4.50018730118006,1
"528","C4_TF1","Target18",4.72926434523876,1
"529","C4_TF1","Target470",87.9189599419469,1
"530","C4_TF1","Target471",2.30418163580386,1
"531","C4_TF1","Target472",43.4841772895148,1
"532","C4_TF1","Target419",23.8411074295329,1
"533","C4_TF1","Target63",1.13280286512701,1
"534","C4_TF1","Target429",1.52390799240171,1
"535","C4_TF1","Target473",7.5562888631167,1
"536","C4_TF1","Target474",52.7043350478952,1
"537","C4_TF1","Target475",1.81098414417968,-1
"538","C4_TF1","Target476",26.6599327701184,1
"539","C4_TF1","Target477",8.12254786133469,1
"540","C4_TF1","Target478",4.49465140883198,1
"541","C4_TF1","Target479",9.83955782596857,1
"542","C4_TF1","Target438",1.21378786066518,1
"543","C4_TF1","Target480",58.5952101865846,1
"544","C4_TF1","Target481",4.22762082784787,1
"545","C4_TF1","Target482",1.0977521310322,-1
"546","C4_TF1","Target75",12.4872762471792,1
"547","C4_TF1","Target483",94.0793818533215,1
"548","C4_TF1","Target449",1.3984003374082,1
"549","C4_TF1","Target484",13.5429345286663,1
"550","C4_TF1","Target485",52.816044931243,1
"551","C4_TF1","Target486",63.1525629859171,1
"552","C4_TF1","Target487",39.7648683759628,1
"553","C4_TF1","Target488",11.7340512501547,1
"554","C4_TF1","Target299",2.95036493950569,-1
"555","C4_TF1","Target489",13.3316260195678,1
"556","C4_TF1","Target490",2.4085510325275,-1
"557","C4_TF1","Target491",5.65243260714873,-1
"558","C4_TF1","Target492",5.23190214252616,1
"559","C4_TF1","Target107",10.7545316156479,1
"560","C4_TF1","Target493",19.2330022141695,1
"561","C4_TF1","Target494",85.6290483939831,1
"562","C4_TF1","Target495",8.27511751997381,-1
"563","C4_TF1","Target496",76.0019913454733,1
"564","C4_TF1","Target459",5.28509338067381,-1
"565","C4_TF1","Target497",42.2846107274054,1
"566","C4_TF1","Target498",13.2534638422749,1
"567","C4_TF1","Target499",5.79277275143826,1
"568","C4_TF1","Target500",5.15560288526484,1
"569","C4_TF1","Target501",67.6992548560664,1
"570","B10_TF1","Target502",69.5539305881287,1
"571","B10_TF1","Target503",1.52589705534302,1
"572","B10_TF1","Target504",1.48502855551527,1
"573","B10_TF1","Target505",25.730885011305,1
"574","B10_TF1","Target506",5.43829465904347,-1
"575","B10_TF1","Target507",11.1968419335572,1
"576","B10_TF1","Target119",1.38677299388846,1
"577","B10_TF1","Target508",34.2313253705434,-1
"578","B10_TF1","Target509",40.1810239390474,1
"579","B10_TF1","Target81",14.7203459178036,-1
"580","B10_TF1","Target510",61.7444742879214,1
"581","B10_TF1","Target511",16.560492651201,-1
"582","B10_TF1","Target512",73.1922266757386,-1
"583","B10_TF1","Target513",1.42202895587738,1
"584","B10_TF1","Target514",24.4150828088878,1
"585","Target8","Target515",1.38329745598527,-1
"586","Target8","Target327",57.2540882059772,1
"587","Target8","Target516",41.7155857874294,1
"588","Target9","Target517",8.51776832223054,1
"589","Target9","Target518",12.2790722261717,1
"590","Target10","Target519",12.8465850052861,-1
"591","Target10","Target373",1.8438470931702,1
"592","D4_TF1","Target27",2.64240726007122,1
"593","D4_TF1","Target33",1.40835614034597,-1
"594","D4_TF1","Target520",2.38435587684689,1
"595","D4_TF1","Target517",7.05721897164925,1
"596","D4_TF1","Target521",1.58682731978937,-1
