"","cell_id","step_ix","simulation_i","sim_time"
"477","cell477",6177,76,100.083333333332
"478","cell478",5107,63,60.0000000000006
"479","cell479",6022,74,190.000000000004
"480","cell480",4218,52,190.000000000004
"481","cell481",2485,31,80.0833333333331
"482","cell482",1599,20,240.00000000001
"483","cell483",8136,100,10
"484","cell484",3161,39,280.000000000006
"485","cell485",3145,39,120.083333333331
"486","cell486",5195,64,120.083333333331
"487","cell487",1502,19,90.0833333333326
"488","cell488",3920,48,490.083333333292
"489","cell489",754,10,0
"490","cell490",2967,37,0
"491","cell491",6261,77,120.083333333331
"492","cell492",5284,65,190.000000000004
"493","cell493",4551,56,240.00000000001
"494","cell494",7755,95,300.000000000002
"495","cell495",7477,92,0
"496","cell496",1424,18,130.083333333331
"497","cell497",1439,18,280.000000000006
"498","cell498",1342,17,130.083333333331
"499","cell499",3754,46,470.083333333296
"500","cell500",6522,80,270.000000000008
"501","cell501",921,12,20.0833333333333
"502","cell502",1423,18,120.083333333331
"503","cell503",275,4,120.083333333331
"504","cell504",5928,73,70.0000000000004
"505","cell505",1342,17,130.083333333331
"506","cell506",1342,17,130.083333333331
"507","cell507",428,6,10
"508","cell508",1328,17,0
"509","cell509",7513,92,340.083333333326
"510","cell510",5518,68,70.0000000000004
"511","cell511",7202,88,510.083333333287
"512","cell512",4390,54,270.000000000008
"513","cell513",7512,92,330.083333333328
"514","cell514",2072,26,50.0000000000003
"515","cell515",1423,18,120.083333333331
"516","cell516",102,2,30.0833333333332
"517","cell517",6013,74,100.083333333332
"518","cell518",1022,13,210.000000000006
"519","cell519",1423,18,120.083333333331
"520","cell520",1171,15,60.0000000000006
"521","cell521",3817,47,280.000000000006
"522","cell522",5470,67,410.08333333331
"523","cell523",4795,59,220.000000000008
"524","cell524",4855,60,0
"525","cell525",4798,59,250.000000000011
"526","cell526",6950,85,450.083333333301
"527","cell527",6010,74,70.0000000000004
"528","cell528",3575,44,320.08333333333
"529","cell529",2570,32,110.083333333331
"530","cell530",4951,61,140.083333333332
"531","cell531",6932,85,270.000000000008
"532","cell532",6302,77,530.083333333295
"533","cell533",7735,95,100.083333333332
"534","cell534",1766,22,270.000000000008
"535","cell535",7697,94,540.083333333299
"536","cell536",1423,18,120.083333333331
"537","cell537",2561,32,20.0833333333333
"538","cell538",4866,60,110.083333333331
"539","cell539",1342,17,130.083333333331
"540","cell540",6502,80,70.0000000000004
"541","cell541",4381,54,180.000000000003
"542","cell542",6522,80,270.000000000008
"543","cell543",2493,31,160.000000000001
"544","cell544",1851,23,300.000000000002
"545","cell545",1423,18,120.083333333331
"546","cell546",7316,90,10
"547","cell547",1423,18,120.083333333331
"548","cell548",3573,44,300.000000000002
"549","cell549",6013,74,100.083333333332
"550","cell550",1342,17,130.083333333331
