"","cell_id","step_ix","simulation_i","sim_time"
"1","cell1",7420,91,230.000000000009
"2","cell2",5522,68,110.083333333331
"3","cell3",8066,99,130.083333333331
"4","cell4",1581,20,60.0000000000006
"5","cell5",7071,87,20.0833333333333
"6","cell6",5187,64,40
"7","cell7",949,12,300.000000000002
"8","cell8",4124,51,70.0000000000004
"9","cell9",3963,49,100.083333333332
"10","cell10",5105,63,40
"11","cell11",4966,61,290.000000000004
"12","cell12",844,11,70.0000000000004
"13","cell13",3967,49,140.083333333332
"14","cell14",7891,97,20.0833333333333
"15","cell15",5854,72,150.083333333333
"16","cell16",1586,20,110.083333333331
"17","cell17",6002,74,0
"18","cell18",3987,49,340.083333333326
"19","cell19",6350,78,190.000000000004
"20","cell20",3553,44,100.083333333332
"21","cell21",4473,55,280.000000000006
"22","cell22",1683,21,260.000000000011
"23","cell23",7973,98,20.0833333333333
"24","cell24",5351,66,40
"25","cell25",4797,59,240.00000000001
"26","cell26",4636,57,270.000000000008
"27","cell27",4011,49,580.083333333318
"28","cell28",2004,25,190.000000000004
"29","cell29",7202,88,510.083333333287
"30","cell30",6969,85,640.000000000012
"31","cell31",3054,38,30.0833333333332
"32","cell32",8080,99,270.000000000008
"33","cell33",6842,84,190.000000000004
"34","cell34",4135,51,180.000000000003
"35","cell35",3553,44,100.083333333332
"36","cell36",5101,63,0
"37","cell37",262,4,0
"38","cell38",5469,67,400.083333333312
"39","cell39",758,10,30.0833333333332
"40","cell40",7975,98,40
"41","cell41",2896,36,90.0833333333326
"42","cell42",198,3,170.000000000002
"43","cell43",4612,57,30.0833333333332
"44","cell44",7982,98,110.083333333331
"45","cell45",1187,15,220.000000000008
"46","cell46",684,9,110.083333333331
"47","cell47",2079,26,120.083333333331
"48","cell48",243,3,620.000000000003
"49","cell49",1365,17,360.083333333321
"50","cell50",2010,25,250.000000000011
"51","cell51",1679,21,220.000000000008
"52","cell52",3488,43,270.000000000008
"53","cell53",40,1,230.000000000009
"54","cell54",6996,86,90.0833333333326
"55","cell55",3871,48,0
"56","cell56",1848,23,270.000000000008
"57","cell57",4034,50,0
"58","cell58",4293,53,120.083333333331
"59","cell59",2657,33,160.000000000001
"60","cell60",1914,24,110.083333333331
"61","cell61",3260,40,450.083333333301
"62","cell62",6015,74,120.083333333331
"63","cell63",6612,81,350.083333333324
"64","cell64",7734,95,90.0833333333326
"65","cell65",4525,56,0
"66","cell66",1287,16,400.083333333312
"67","cell67",6772,83,310.083333333333
"68","cell68",4783,59,100.083333333332
"69","cell69",1503,19,100.083333333332
"70","cell70",3714,46,70.0000000000004
"71","cell71",7812,96,50.0000000000003
"72","cell72",6334,78,30.0833333333332
"73","cell73",6997,86,100.083333333332
"74","cell74",1388,17,590.083333333322
"75","cell75",689,9,160.000000000001
"76","cell76",5674,70,0
"77","cell77",6369,78,380.083333333317
"78","cell78",3326,41,290.000000000004
"79","cell79",1245,16,0
"80","cell80",3982,49,290.000000000004
"81","cell81",3650,45,250.000000000011
"82","cell82",1387,17,580.083333333318
"83","cell83",7813,96,60.0000000000006
"84","cell84",5548,68,370.083333333319
"85","cell85",4481,55,360.083333333321
"86","cell86",227,3,460.083333333299
"87","cell87",7265,89,320.08333333333
"88","cell88",3814,47,250.000000000011
"89","cell89",3792,47,30.0833333333332
"90","cell90",6940,85,350.083333333324
"91","cell91",7069,87,0
"92","cell92",5467,67,380.083333333317
"93","cell93",4453,55,80.0833333333331
"94","cell94",2641,33,0
"95","cell95",5053,62,340.083333333326
"96","cell96",189,3,80.0833333333331
"97","cell97",5206,64,230.000000000009
"98","cell98",1514,19,210.000000000006
"99","cell99",2725,34,20.0833333333333
"100","cell100",2685,33,440.083333333303
"101","cell101",5541,68,300.000000000002
"102","cell102",4121,51,40
"103","cell103",110,2,110.083333333331
"104","cell104",3140,39,70.0000000000004
"105","cell105",7924,97,350.083333333324
"106","cell106",918,12,0
"107","cell107",2316,29,30.0833333333332
