"","cell_id","step_ix","simulation_i","sim_time"
"108","cell108",2586,32,270.000000000008
"109","cell109",2319,29,60.0000000000006
"110","cell110",1907,24,40
"111","cell111",46,1,290.000000000004
"112","cell112",3740,46,330.083333333328
"113","cell113",4692,58,10
"114","cell114",4057,50,220.000000000008
"115","cell115",5449,67,200.000000000005
"116","cell116",7330,90,150.083333333333
"117","cell117",2832,35,270.000000000008
"118","cell118",1416,18,50.0000000000003
"119","cell119",5295,65,300.000000000002
"120","cell120",1134,14,510.083333333287
"121","cell121",8170,100,350.083333333324
"122","cell122",3736,46,290.000000000004
"123","cell123",6443,79,300.000000000002
"124","cell124",3492,43,310.083333333333
"125","cell125",4310,53,290.000000000004
"126","cell126",6268,77,190.000000000004
"127","cell127",4607,57,0
"128","cell128",2989,37,200.000000000005
"129","cell129",4937,61,0
"130","cell130",3714,46,70.0000000000004
"131","cell131",7755,95,300.000000000002
"132","cell132",7812,96,50.0000000000003
"133","cell133",1745,22,60.0000000000006
"134","cell134",227,3,460.083333333299
"135","cell135",4065,50,300.000000000002
"136","cell136",7039,86,520.08333333329
"137","cell137",4703,58,120.083333333331
"138","cell138",4467,55,220.000000000008
"139","cell139",2828,35,230.000000000009
"140","cell140",1750,22,110.083333333331
"141","cell141",4118,51,10
"142","cell142",6937,85,320.08333333333
"143","cell143",1383,17,540.083333333299
"144","cell144",1604,20,290.000000000004
"145","cell145",3162,39,290.000000000004
"146","cell146",7512,92,330.083333333328
"147","cell147",2565,32,60.0000000000006
"148","cell148",7087,87,180.000000000003
"149","cell149",5837,72,0
"150","cell150",614,8,230.000000000009
"151","cell151",6699,82,400.083333333312
"152","cell152",7622,93,610.083333333331
"153","cell153",694,9,210.000000000006
"154","cell154",449,6,220.000000000008
"155","cell155",7244,89,110.083333333331
"156","cell156",3218,40,30.0833333333332
"157","cell157",5356,66,90.0833333333326
"158","cell158",6001,74,0
"159","cell159",3559,44,160.000000000001
"160","cell160",611,8,200.000000000005
"161","cell161",20,1,30.0833333333332
"162","cell162",3743,46,360.083333333321
"163","cell163",5782,71,250.000000000011
"164","cell164",2081,26,140.083333333332
"165","cell165",7126,87,570.083333333313
"166","cell166",5044,62,250.000000000011
"167","cell167",129,2,300.000000000002
"168","cell168",7641,94,0
"169","cell169",6332,78,10
"170","cell170",2654,33,130.083333333331
"171","cell171",1354,17,250.000000000011
"172","cell172",5193,64,100.083333333332
"173","cell173",4778,59,50.0000000000003
"174","cell174",3763,46,560.083333333309
"175","cell175",6509,80,140.083333333332
"176","cell176",517,7,80.0833333333331
"177","cell177",4535,56,80.0833333333331
"178","cell178",5607,69,140.083333333332
"179","cell179",689,9,160.000000000001
"180","cell180",598,8,70.0000000000004
"181","cell181",2405,30,100.083333333332
"182","cell182",7167,88,160.000000000001
"183","cell183",5347,66,0
"184","cell184",6374,78,430.083333333305
"185","cell185",3914,48,430.083333333305
"186","cell186",1174,15,90.0833333333326
"187","cell187",4642,57,330.083333333328
"188","cell188",926,12,70.0000000000004
"189","cell189",5122,63,210.000000000006
"190","cell190",5375,66,280.000000000006
"191","cell191",6271,77,220.000000000008
"192","cell192",2190,27,410.08333333331
"193","cell193",4797,59,240.00000000001
"194","cell194",5521,68,100.083333333332
"195","cell195",1491,19,0
"196","cell196",3475,43,140.083333333332
"197","cell197",4551,56,240.00000000001
"198","cell198",4544,56,170.000000000002
"199","cell199",2753,34,300.000000000002
"200","cell200",1672,21,150.083333333333
"201","cell201",3008,37,390.083333333314
"202","cell202",4372,54,90.0833333333326
"203","cell203",1921,24,180.000000000003
"204","cell204",6583,81,60.0000000000006
"205","cell205",2238,28,70.0000000000004
"206","cell206",948,12,290.000000000004
"207","cell207",6415,79,20.0833333333333
"208","cell208",3077,38,260.000000000011
"209","cell209",2810,35,50.0000000000003
"210","cell210",5205,64,220.000000000008
"211","cell211",7406,91,90.0833333333326
"212","cell212",7688,94,450.083333333301
"213","cell213",7741,95,160.000000000001
"214","cell214",1577,20,20.0833333333333
"215","cell215",7822,96,150.083333333333
"216","cell216",3988,49,350.083333333324
"217","cell217",3820,47,310.083333333333
"218","cell218",2084,26,170.000000000002
"219","cell219",2893,36,60.0000000000006
"220","cell220",4948,61,110.083333333331
"221","cell221",3152,39,190.000000000004
"222","cell222",4995,61,580.083333333318
"223","cell223",4301,53,200.000000000005
"224","cell224",5679,70,40
"225","cell225",3144,39,110.083333333331
"226","cell226",919,12,0
"227","cell227",4292,53,110.083333333331
"228","cell228",1766,22,270.000000000008
"229","cell229",6590,81,130.083333333331
"230","cell230",7083,87,140.083333333332
"231","cell231",5838,72,0
"232","cell232",4372,54,90.0833333333326
"233","cell233",4040,50,50.0000000000003
"234","cell234",6547,80,520.08333333329
"235","cell235",3800,47,110.083333333331
"236","cell236",5613,69,200.000000000005
"237","cell237",6001,74,0
"238","cell238",6423,79,100.083333333332
"239","cell239",2347,29,340.083333333326
"240","cell240",4125,51,80.0833333333331
"241","cell241",3054,38,30.0833333333332
"242","cell242",7401,91,40
"243","cell243",6190,76,230.000000000009
"244","cell244",1828,23,70.0000000000004
"245","cell245",6379,78,480.083333333294
"246","cell246",4292,53,110.083333333331
"247","cell247",3215,40,0
"248","cell248",433,6,60.0000000000006
"249","cell249",763,10,80.0833333333331
"250","cell250",5207,64,240.00000000001
"251","cell251",3986,49,330.083333333328
"252","cell252",2815,35,100.083333333332
"253","cell253",3328,41,310.083333333333
"254","cell254",5866,72,270.000000000008
"255","cell255",532,7,230.000000000009
"256","cell256",2505,31,280.000000000006
"257","cell257",4800,59,270.000000000008
"258","cell258",3969,49,160.000000000001
"259","cell259",2097,26,300.000000000002
"260","cell260",3147,39,140.083333333332
"261","cell261",5436,67,70.0000000000004
"262","cell262",4503,55,580.083333333318
"263","cell263",2340,29,270.000000000008
"264","cell264",7175,88,240.00000000001
"265","cell265",5122,63,210.000000000006
"266","cell266",5725,70,500.083333333289
"267","cell267",5929,73,80.0833333333331
"268","cell268",4124,51,70.0000000000004
"269","cell269",3636,45,110.083333333331
"270","cell270",2244,28,130.083333333331
"271","cell271",1259,16,120.083333333331
"272","cell272",5538,68,270.000000000008
"273","cell273",7894,97,50.0000000000003
"274","cell274",113,2,140.083333333332
"275","cell275",4948,61,110.083333333331
"276","cell276",1915,24,120.083333333331
"277","cell277",1927,24,240.00000000001
"278","cell278",4336,53,550.083333333304
"279","cell279",1023,13,220.000000000008
"280","cell280",6181,76,140.083333333332
"281","cell281",814,10,590.083333333322
"282","cell282",305,4,420.083333333308
"283","cell283",4635,57,260.000000000011
"284","cell284",5235,64,520.08333333329
"285","cell285",4090,50,550.083333333304
"286","cell286",4973,61,360.083333333321
"287","cell287",2072,26,50.0000000000003
"288","cell288",1576,20,10
"289","cell289",6668,82,90.0833333333326
"290","cell290",7977,98,60.0000000000006
"291","cell291",23,1,60.0000000000006
"292","cell292",3555,44,120.083333333331
"293","cell293",5756,71,0
"294","cell294",4540,56,130.083333333331
"295","cell295",3566,44,230.000000000009
"296","cell296",5852,72,130.083333333331
"297","cell297",2970,37,10
"298","cell298",6607,81,300.000000000002
"299","cell299",7487,92,80.0833333333331
"300","cell300",4721,58,300.000000000002
"301","cell301",1030,13,290.000000000004
"302","cell302",2652,33,110.083333333331
"303","cell303",2251,28,200.000000000005
"304","cell304",1787,22,480.083333333294
"305","cell305",7759,95,340.083333333326
"306","cell306",2155,27,60.0000000000006
"307","cell307",4204,52,50.0000000000003
"308","cell308",2646,33,50.0000000000003
"309","cell309",2241,28,100.083333333332
"310","cell310",5549,68,380.083333333317
"311","cell311",5569,68,580.083333333318
"312","cell312",7162,88,110.083333333331
"313","cell313",3425,42,460.083333333299
"314","cell314",8080,99,270.000000000008
"315","cell315",8162,100,270.000000000008
"316","cell316",1022,13,210.000000000006
"317","cell317",3739,46,320.08333333333
"318","cell318",620,8,290.000000000004
"319","cell319",1418,18,70.0000000000004
"320","cell320",2454,30,590.083333333322
"321","cell321",710,9,370.083333333319
"322","cell322",2974,37,50.0000000000003
"323","cell323",3894,48,230.000000000009
"324","cell324",4203,52,40
"325","cell325",444,6,170.000000000002
"326","cell326",4589,56,620.000000000003
"327","cell327",6440,79,270.000000000008
"328","cell328",4065,50,300.000000000002
"329","cell329",7986,98,150.083333333333
"330","cell330",2998,37,290.000000000004
"331","cell331",6010,74,70.0000000000004
"332","cell332",766,10,110.083333333331
"333","cell333",3794,47,50.0000000000003
"334","cell334",3173,39,400.083333333312
"335","cell335",5738,70,630.000000000007
"336","cell336",1280,16,330.083333333328
"337","cell337",4468,55,230.000000000009
"338","cell338",4124,51,70.0000000000004
"339","cell339",5429,67,0
"340","cell340",6191,76,240.00000000001
"341","cell341",7348,90,330.083333333328
"342","cell342",4118,51,10
"343","cell343",6831,84,80.0833333333331
"344","cell344",1096,14,130.083333333331
"345","cell345",4484,55,390.083333333314
"346","cell346",675,9,20.0833333333333
"347","cell347",1519,19,260.000000000011
"348","cell348",1747,22,80.0833333333331
"349","cell349",5713,70,380.083333333317
"350","cell350",999,13,0
"351","cell351",6464,79,510.083333333287
"352","cell352",6411,79,0
"353","cell353",3076,38,250.000000000011
"354","cell354",5043,62,240.00000000001
"355","cell355",1182,15,170.000000000002
"356","cell356",4466,55,210.000000000006
"357","cell357",7162,88,110.083333333331
"358","cell358",5024,62,50.0000000000003
"359","cell359",6267,77,180.000000000003
"360","cell360",57,1,400.083333333312
"361","cell361",8054,99,10
"362","cell362",4386,54,230.000000000009
"363","cell363",2106,26,390.083333333314
"364","cell364",2890,36,30.0833333333332
"365","cell365",6931,85,260.000000000011
"366","cell366",5538,68,270.000000000008
"367","cell367",2658,33,170.000000000002
"368","cell368",4620,57,110.083333333331
"369","cell369",2905,36,180.000000000003
"370","cell370",7080,87,110.083333333331
"371","cell371",3718,46,110.083333333331
"372","cell372",6181,76,140.083333333332
"373","cell373",8078,99,250.000000000011
"374","cell374",3971,49,180.000000000003
"375","cell375",2505,31,280.000000000006
"376","cell376",1926,24,230.000000000009
"377","cell377",4784,59,110.083333333331
"378","cell378",4367,54,40
"379","cell379",7249,89,160.000000000001
"380","cell380",3185,39,520.08333333329
"381","cell381",5924,73,30.0833333333332
"382","cell382",286,4,230.000000000009
"383","cell383",6340,78,90.0833333333326
"384","cell384",6763,83,220.000000000008
"385","cell385",6116,75,310.083333333333
"386","cell386",565,7,560.083333333309
"387","cell387",1904,24,10
"388","cell388",4936,61,0
"389","cell389",7770,95,450.083333333301
"390","cell390",2731,34,80.0833333333331
"391","cell391",2148,27,0
"392","cell392",1087,14,40
"393","cell393",590,8,0
"394","cell394",1331,17,20.0833333333333
"395","cell395",644,8,530.083333333295
"396","cell396",1286,16,390.083333333314
"397","cell397",5108,63,70.0000000000004
"398","cell398",2727,34,40
"399","cell399",6096,75,110.083333333331
"400","cell400",1519,19,260.000000000011
"401","cell401",2952,36,658.8
"402","cell402",4525,56,0
"403","cell403",5052,62,330.083333333328
"404","cell404",5676,70,10
"405","cell405",6195,76,280.000000000006
"406","cell406",3592,44,490.083333333292
"407","cell407",1914,24,110.083333333331
"408","cell408",7987,98,160.000000000001
"409","cell409",7153,88,20.0833333333333
"410","cell410",846,11,90.0833333333326
"411","cell411",1379,17,500.083333333289
"412","cell412",6188,76,210.000000000006
"413","cell413",4781,59,80.0833333333331
"414","cell414",7159,88,80.0833333333331
"415","cell415",3250,40,350.083333333324
"416","cell416",637,8,460.083333333299
"417","cell417",6792,83,510.083333333287
"418","cell418",6338,78,70.0000000000004
"419","cell419",57,1,400.083333333312
"420","cell420",6687,82,280.000000000006
"421","cell421",4796,59,230.000000000009
"422","cell422",691,9,180.000000000003
"423","cell423",4036,50,10
"424","cell424",7575,93,140.083333333332
"425","cell425",836,11,0
"426","cell426",3951,49,0
"427","cell427",6519,80,240.00000000001
"428","cell428",6599,81,220.000000000008
"429","cell429",2761,34,380.083333333317
"430","cell430",7316,90,10
"431","cell431",2365,29,520.08333333329
"432","cell432",3063,38,120.083333333331
"433","cell433",3653,45,280.000000000006
"434","cell434",4959,61,220.000000000008
"435","cell435",2992,37,230.000000000009
"436","cell436",5765,71,80.0833333333331
"437","cell437",1523,19,300.000000000002
"438","cell438",939,12,200.000000000005
"439","cell439",8058,99,50.0000000000003
"440","cell440",1582,20,70.0000000000004
"441","cell441",294,4,310.083333333333
"442","cell442",2149,27,0
"443","cell443",6026,74,230.000000000009
"444","cell444",1001,13,0
"445","cell445",7164,88,130.083333333331
"446","cell446",5375,66,280.000000000006
"447","cell447",3248,40,330.083333333328
"448","cell448",6423,79,100.083333333332
"449","cell449",710,9,370.083333333319
"450","cell450",7586,93,250.000000000011
"451","cell451",7649,94,60.0000000000006
"452","cell452",5377,66,300.000000000002
"453","cell453",7857,96,500.083333333289
"454","cell454",4209,52,100.083333333332
"455","cell455",7358,90,430.083333333305
"456","cell456",1853,23,320.08333333333
"457","cell457",4858,60,30.0833333333332
"458","cell458",539,7,300.000000000002
"459","cell459",179,3,0
"460","cell460",7174,88,230.000000000009
"461","cell461",1627,20,520.08333333329
"462","cell462",7584,93,230.000000000009
"463","cell463",4047,50,120.083333333331
"464","cell464",7071,87,20.0833333333333
"465","cell465",1579,20,40
"466","cell466",4233,52,340.083333333326
"467","cell467",7050,86,630.000000000007
"468","cell468",3555,44,120.083333333331
"469","cell469",6091,75,60.0000000000006
"470","cell470",672,9,0
"471","cell471",5602,69,90.0833333333326
"472","cell472",1496,19,30.0833333333332
"473","cell473",7375,90,600.083333333327
"474","cell474",1616,20,410.08333333331
"475","cell475",4876,60,210.000000000006
"476","cell476",5351,66,40
"477","cell477",6749,83,80.0833333333331
"478","cell478",1027,13,260.000000000011
"479","cell479",2764,34,410.08333333331
"480","cell480",5756,71,0
"481","cell481",6089,75,40
"482","cell482",5209,64,260.000000000011
"483","cell483",4659,57,500.083333333289
"484","cell484",6523,80,280.000000000006
"485","cell485",5760,71,30.0833333333332
"486","cell486",6493,80,0
"487","cell487",519,7,100.083333333332
"488","cell488",7084,87,150.083333333333
"489","cell489",4141,51,240.00000000001
"490","cell490",3990,49,370.083333333319
"491","cell491",1847,23,260.000000000011
"492","cell492",1255,16,80.0833333333331
"493","cell493",2835,35,300.000000000002
"494","cell494",2819,35,140.083333333332
"495","cell495",5214,64,310.083333333333
"496","cell496",4717,58,260.000000000011
"497","cell497",3385,42,60.0000000000006
"498","cell498",7748,95,230.000000000009
"499","cell499",16,1,0
"500","cell500",4319,53,380.083333333317
"501","cell501",265,4,20.0833333333333
"502","cell502",2155,27,60.0000000000006
"503","cell503",4217,52,180.000000000003
"504","cell504",7656,94,130.083333333331
"505","cell505",3877,48,60.0000000000006
"506","cell506",521,7,120.083333333331
"507","cell507",4724,58,330.083333333328
"508","cell508",1908,24,50.0000000000003
"509","cell509",1300,16,530.083333333295
"510","cell510",2645,33,40
"511","cell511",5348,66,10
"512","cell512",4044,50,90.0833333333326
"513","cell513",6968,85,630.000000000007
"514","cell514",7816,96,90.0833333333326
"515","cell515",6509,80,140.083333333332
"516","cell516",7491,92,120.083333333331
"517","cell517",1435,18,240.00000000001
"518","cell518",5203,64,200.000000000005
"519","cell519",5192,64,90.0833333333326
"520","cell520",867,11,300.000000000002
"521","cell521",106,2,70.0000000000004
"522","cell522",3717,46,100.083333333332
"523","cell523",3062,38,110.083333333331
"524","cell524",2484,31,70.0000000000004
"525","cell525",525,7,160.000000000001
"526","cell526",6428,79,150.083333333333
"527","cell527",2832,35,270.000000000008
"528","cell528",125,2,260.000000000011
"529","cell529",4205,52,60.0000000000006
"530","cell530",6114,75,290.000000000004
"531","cell531",3979,49,260.000000000011
"532","cell532",638,8,470.083333333296
"533","cell533",5292,65,270.000000000008
"534","cell534",4133,51,160.000000000001
"535","cell535",6274,77,250.000000000011
"536","cell536",7485,92,60.0000000000006
"537","cell537",3809,47,200.000000000005
"538","cell538",1331,17,20.0833333333333
"539","cell539",850,11,130.083333333331
"540","cell540",445,6,180.000000000003
"541","cell541",7349,90,340.083333333326
"542","cell542",610,8,190.000000000004
"543","cell543",5328,65,630.000000000007
"544","cell544",4746,58,550.083333333304
"545","cell545",3739,46,320.08333333333
"546","cell546",6882,84,590.083333333322
"547","cell547",851,11,140.083333333332
"548","cell548",4315,53,340.083333333326
"549","cell549",5680,70,50.0000000000003
"550","cell550",538,7,290.000000000004
"551","cell551",4293,53,120.083333333331
"552","cell552",7395,91,0
"553","cell553",1420,18,90.0833333333326
"554","cell554",1906,24,30.0833333333332
"555","cell555",2171,27,220.000000000008
"556","cell556",2729,34,60.0000000000006
"557","cell557",1417,18,60.0000000000006
"558","cell558",6336,78,50.0000000000003
"559","cell559",3164,39,310.083333333333
"560","cell560",6122,75,370.083333333319
"561","cell561",4620,57,110.083333333331
"562","cell562",1854,23,330.083333333328
"563","cell563",6995,86,80.0833333333331
"564","cell564",4148,51,310.083333333333
"565","cell565",1285,16,380.083333333317
"566","cell566",2986,37,170.000000000002
"567","cell567",6038,74,350.083333333324
"568","cell568",8099,99,460.083333333299
"569","cell569",3889,48,180.000000000003
"570","cell570",1005,13,40
"571","cell571",2439,30,440.083333333303
"572","cell572",7100,87,310.083333333333
"573","cell573",1303,16,560.083333333309
"574","cell574",1914,24,110.083333333331
"575","cell575",2002,25,170.000000000002
"576","cell576",7689,94,460.083333333299
"577","cell577",5857,72,180.000000000003
"578","cell578",1768,22,290.000000000004
"579","cell579",183,3,20.0833333333333
"580","cell580",1199,15,340.083333333326
"581","cell581",940,12,210.000000000006
"582","cell582",1494,19,10
"583","cell583",16,1,0
"584","cell584",205,3,240.00000000001
"585","cell585",8054,99,10
"586","cell586",6424,79,110.083333333331
"587","cell587",2402,30,70.0000000000004
"588","cell588",5709,70,340.083333333326
"589","cell589",519,7,100.083333333332
"590","cell590",3464,43,30.0833333333332
"591","cell591",36,1,190.000000000004
"592","cell592",5279,65,140.083333333332
"593","cell593",1829,23,80.0833333333331
"594","cell594",2972,37,30.0833333333332
"595","cell595",7568,93,70.0000000000004
"596","cell596",7975,98,40
"597","cell597",3795,47,60.0000000000006
"598","cell598",5793,71,360.083333333321
"599","cell599",8142,100,70.0000000000004
"600","cell600",6700,82,410.08333333331
"601","cell601",1791,22,520.08333333329
"602","cell602",3411,42,320.08333333333
"603","cell603",6013,74,100.083333333332
"604","cell604",3821,47,320.08333333333
"605","cell605",4211,52,120.083333333331
"606","cell606",1870,23,490.083333333292
"607","cell607",195,3,140.083333333332
"608","cell608",6330,78,0
"609","cell609",6087,75,20.0833333333333
"610","cell610",7819,96,120.083333333331
"611","cell611",128,2,290.000000000004
"612","cell612",3897,48,260.000000000011
"613","cell613",4657,57,480.083333333294
"614","cell614",2350,29,370.083333333319
"615","cell615",3573,44,300.000000000002
"616","cell616",5346,66,0
"617","cell617",1837,23,160.000000000001
"618","cell618",6691,82,320.08333333333
"619","cell619",4608,57,0
"620","cell620",5779,71,220.000000000008
"621","cell621",7689,94,460.083333333299
"622","cell622",951,12,320.08333333333
"623","cell623",7500,92,210.000000000006
"624","cell624",5925,73,40
"625","cell625",7750,95,250.000000000011
"626","cell626",5706,70,310.083333333333
"627","cell627",840,11,30.0833333333332
"628","cell628",2109,26,420.083333333308
"629","cell629",7683,94,400.083333333312
"630","cell630",1274,16,270.000000000008
"631","cell631",8001,98,300.000000000002
"632","cell632",3389,42,100.083333333332
"633","cell633",2810,35,50.0000000000003
"634","cell634",4374,54,110.083333333331
"635","cell635",945,12,260.000000000011
"636","cell636",6797,83,560.083333333309
"637","cell637",2970,37,10
"638","cell638",3642,45,170.000000000002
"639","cell639",7748,95,230.000000000009
"640","cell640",3819,47,300.000000000002
"641","cell641",5288,65,230.000000000009
"642","cell642",1137,14,540.083333333299
"643","cell643",3960,49,70.0000000000004
"644","cell644",5530,68,190.000000000004
"645","cell645",1633,20,580.083333333318
"646","cell646",2588,32,290.000000000004
"647","cell647",2839,35,340.083333333326
"648","cell648",3312,41,150.083333333333
"649","cell649",7491,92,120.083333333331
"650","cell650",7091,87,220.000000000008
"651","cell651",6748,83,70.0000000000004
"652","cell652",6281,77,320.08333333333
"653","cell653",2721,34,0
"654","cell654",4800,59,270.000000000008
"655","cell655",2160,27,110.083333333331
"656","cell656",602,8,110.083333333331
"657","cell657",1991,25,60.0000000000006
"658","cell658",2257,28,260.000000000011
"659","cell659",7125,87,560.083333333309
"660","cell660",357,5,120.083333333331
"661","cell661",5846,72,70.0000000000004
"662","cell662",7482,92,30.0833333333332
"663","cell663",2757,34,340.083333333326
"664","cell664",6602,81,250.000000000011
"665","cell665",4555,56,280.000000000006
"666","cell666",4538,56,110.083333333331
"667","cell667",4362,54,0
"668","cell668",6936,85,310.083333333333
"669","cell669",7612,93,510.083333333287
"670","cell670",8083,99,300.000000000002
"671","cell671",8062,99,90.0833333333326
"672","cell672",1995,25,100.083333333332
"673","cell673",7725,95,0
"674","cell674",3877,48,60.0000000000006
"675","cell675",5528,68,170.000000000002
"676","cell676",5521,68,100.083333333332
"677","cell677",4613,57,40
"678","cell678",8103,99,500.083333333289
"679","cell679",6124,75,390.083333333314
"680","cell680",2972,37,30.0833333333332
"681","cell681",2951,36,640.000000000012
"682","cell682",7164,88,130.083333333331
"683","cell683",5120,63,190.000000000004
"684","cell684",518,7,90.0833333333326
"685","cell685",1055,13,540.083333333299
"686","cell686",849,11,120.083333333331
"687","cell687",7318,90,30.0833333333332
"688","cell688",4297,53,160.000000000001
"689","cell689",5839,72,0
"690","cell690",3392,42,130.083333333331
"691","cell691",3742,46,350.083333333324
"692","cell692",763,10,80.0833333333331
"693","cell693",2828,35,230.000000000009
"694","cell694",4134,51,170.000000000002
"695","cell695",4409,54,460.083333333299
"696","cell696",7987,98,160.000000000001
"697","cell697",4785,59,120.083333333331
"698","cell698",1032,13,310.083333333333
"699","cell699",8144,100,90.0833333333326
"700","cell700",8141,100,60.0000000000006
"701","cell701",7651,94,80.0833333333331
"702","cell702",2252,28,210.000000000006
"703","cell703",6671,82,120.083333333331
"704","cell704",2811,35,60.0000000000006
"705","cell705",7696,94,530.083333333295
"706","cell706",7831,96,240.00000000001
"707","cell707",8058,99,50.0000000000003
"708","cell708",3382,42,30.0833333333332
"709","cell709",4535,56,80.0833333333331
"710","cell710",2317,29,40
"711","cell711",6435,79,220.000000000008
"712","cell712",1136,14,530.083333333295
"713","cell713",5931,73,100.083333333332
"714","cell714",3109,38,580.083333333318
"715","cell715",6493,80,0
"716","cell716",3393,42,140.083333333332
"717","cell717",4135,51,180.000000000003
"718","cell718",1905,24,20.0833333333333
"719","cell719",4345,53,640.000000000012
"720","cell720",4697,58,60.0000000000006
"721","cell721",2654,33,130.083333333331
"722","cell722",3302,41,50.0000000000003
"723","cell723",3060,38,90.0833333333326
"724","cell724",8055,99,20.0833333333333
"725","cell725",1940,24,370.083333333319
"726","cell726",3638,45,130.083333333331
"727","cell727",7926,97,370.083333333319
"728","cell728",7901,97,120.083333333331
"729","cell729",4300,53,190.000000000004
"730","cell730",7772,95,470.083333333296
"731","cell731",1573,20,0
"732","cell732",1059,13,580.083333333318
"733","cell733",695,9,220.000000000008
"734","cell734",3818,47,290.000000000004
"735","cell735",3722,46,150.083333333333
"736","cell736",1843,23,220.000000000008
"737","cell737",2562,32,30.0833333333332
"738","cell738",7907,97,180.000000000003
"739","cell739",5606,69,130.083333333331
"740","cell740",108,2,90.0833333333326
"741","cell741",5027,62,80.0833333333331
"742","cell742",5024,62,50.0000000000003
"743","cell743",219,3,380.083333333317
"744","cell744",2329,29,160.000000000001
"745","cell745",5470,67,410.08333333331
"746","cell746",6582,81,50.0000000000003
"747","cell747",525,7,160.000000000001
"748","cell748",6658,82,0
"749","cell749",1412,18,10
"750","cell750",841,11,40
"751","cell751",6944,85,390.083333333314
"752","cell752",603,8,120.083333333331
"753","cell753",1205,15,400.083333333312
"754","cell754",7323,90,80.0833333333331
